Nom piyin sans accent,Nom latin,Nom botanique,Partie employée,Saveur,Nature,Tropisme,Fonctions,Indications,Combinaisons,Mode d’emploi et dosage,Toxicité,Précautions et contre-indications,Recherche clinique,Formules de référence,Commentaires
Ma Bo,Fructificatio Lasiosphaerae,Lasiosphaera fenslii Reich.,fructification,piquante,neutre,Shou Tai Yin Poumon,Clarifie la chaleur et élimine le feu toxique / Favorise la gorge / Elimine la chaleur du Poumon / Arrête l’hémorragie,Chaleur toxique avec douleur et gonflement de la / gorge et aphonie. / Chaleur du Poumon causant la toux. / Chaleur toxique causant des saignements de la bouche et des lèvres. / Engelures.,"Plus Shan Dou Gen, Radix Sophorae Subprostratae et Xuan Shen, Radix Scrophulariae pour la douleur de la gorge par chaleur toxique. / Plus Jin Yin Hua, Flos Lonicerae, Niu Bang Zi, Fructus Arctii, Ban Lan Gen, Radix Isatidis, She Gan, Rhizoma Belamcandae, Da Qing Ye, Folium Isatidis, etc. pour le traitement de la chaleur, du Poumon causant le mal de gorge, la toux, l’aphonie.",3 à 6 g en décoction (enveloppé dans un sachet en coton).,,aphonie par vent-froid.,"hémostatique, antimicrobien, antifongique.",Ma Pi Bo Wan,
Ma Chi Xian,Herba Portulacae,Portulaca oleracae L.,plante entière,acide,froide,"Shou Yang Ming Gros Intestin, Zu Tai Yin Rate et Zu Jue Yin Foie",Elimine la chaleur et les toxiques / Elimine la chaleur-humidité / Rafraîchit le Sang / Disperse les accumulations de Sang / Arrête l’hémorragie,Chaleur humidité ou feu toxique causant la dysenterie. / Chaleur-humidité de la peau avec furoncles et abcès.,"Plus Pu Gong Ying, HerbaTaraxaci pour la chaleur toxique causant l’abcès intestinal",15 à 60 g en décoction.,,froid vide de la Rate et de l’Estomac; la grossesse.,"antibiotique, stimulant utérin, antiparasitique.",,
Pu Gong Ying,Herba Taraxaci,Taraxacum mongolicum Hand.- Mazz.,plante entière,amère et douce,froide,Zu Jue Yin Foie et Zu Yang Ming Estomac,Clarifie la chaleur et élimine les toxiques / Dissipe les nodules et réduit les abcès / Elimine la chaleur-humidité / Favorise la lactation / Active la diurèse,"Chaleur toxique produisant toutes sortes d’ulcères, abcès, nodules, furoncles, enflures chauds et durs et notamment les mastites et les abcès intestinaux, en utilisation interne et externe. / Chaleur du Foie causant des yeux rouges, gonflés et douloureux. / Chaleur interne causant une lactation insuffisante.","Plus Ban Lan Gen, Radix Isatidis pour la chaleur toxique avec gonflement de la gorge. / Plus Jin Yin Hua, Flos Lonicerae et Che Qian Cao, Herba Plantaginis pour l’oligurie par chaleur ou chaleur-humidité dans le réchauffeur inférieur. / Plus Jue Ming Zi, Semen Cassiae Torae et Ju Hua, Flos Chrysanthemi Morifolii, pour les yeux rouges et gonflés par chaleur du Foie. / Plus Yin Chen Hao, Herba Artemisiae Capillaris et Zhi Zi, Fructus Gardeniae pour la jaunisse par chaleur-humidité. / Plus Gua Lou, Fructus Trichosanthis et Gua Lou Ren, Semen Trichosanthis, Zhe Bei Mu, Bulbus Fritillariae pour l’amas de chaleur toxique causant l’abcès du sein. / Plus Zi Hua Di Ding, Herba Violae et Jin Yin Hua, Flos Lonicerae pour les furoncles. / Plus Xia Ku Cao, Spica Prunellae pour les nodules sous-cutanés par glaires.",10 à 30 g en décoction.,,,"bactériostatique, cholagogue.","dans nos contrées cette herbe peut facilement être utilisée fraîche. Dans ce cas, il faut tripler les quantités indiquées. On utilise la plante entière.",
Shan Dou Gen,Radix Sophorae Subprostratae,Sophora subprostrata Ghun et T.Chen,racine,amère,froide,"Shou Tai Yin Poumon, Shou Shao Yin Coeur et Shou Yang Ming Gros Intestin",Clarifie la chaleur et le feu et élimine les toxiques / Favorise la gorge,Chaleur toxique avec douleur et gonflement de la gorge.,"Plus Niu Bang Zi, Fructus Arctii pour la douleur de la gorge. / Plus Ban Lan Gen , Radix Isatidis pour le gonflement et la douleur de la gorge, des gencives et les aphtes de la langue et de la bouche. / Plus Xuan Shen, Radix Scrophulariae, Jie Geng, Radix Platycodi, Ban Lan Gen, Radix Isatidis pour le gonflement de la gorge et des gencives.",3 à 9 g en décoction.,"légèrement toxique. Limiter l’usage. Peut causer des vertiges, des nausées et des vomissements. Ld50 chez la souris par injection intrapéritonéale est de 15,8g/kg.",diarrhée par froid vide de la Rate.,"antinéoplastique, inhibiteur de la sécrétion gastrique, anti-asthmatique, anti-arrhytmique, antibactérien.",Shan Dou Gen San / Yi Gan San,
She Gan,Rhizoma Belamcandae,Belamcanda chinensis (L.) DC.,rhizome,amère,froide et toxique,Shou Tai Yin Poumon,Elimine la chaleur et les toxiques / Favorise la gorge / Elimine les obstructions de glaires-feu. / Fait descendre le Qi / Chasse les glaires / Lève les stagnations de Sang,Chaleur toxique avec gonflement et douleur de la gorge. / Obstruction de glaires-chaleur causant le gonflement et la douleur de la gorge. / Obstruction de glaires avec toux et dyspnée.,"Plus Huang Qin, Radix Scutellariae pour la douleur de la gorge et la toux par chaleur du Poumon. / Plus Jie Geng, Radix Platycodi et Huang Qin, Radix Scutellariae pour le gonflement et la douleur de la gorge et la voix rauque par plénitude de feu. / Plus Ku Xing Ren, Semen Armeniacae Amarae et Jie Geng, Radix Platycodi pour la chaleur du Poumon causant la toux, la douleur et le gonflement / de la gorge et la difficulté à expectorer. / □ Plus Ma Huang, Herba Ephedrae, Xi Xin, Herba Asari cum Radice et Sheng Jiang, Rhizoma Zingiberis Recens pour l’asthme par vent-froid et oppression de la poitrine par les glaires.",6 à 9 g en décoction.,,la grossesse; la diarrhée par vide de Rate.,"antifongique, antiviral.",She Gan Ma Huang Tang,
Shi Shang Bai,Herba Selaginellae,Selaginella doederleinii Hieron.,plante entière,"douce, piquante et amère",froide et neutre,Zu Jue Yin Foie,Clarifie la chaleur et élimine les toxiques / Clarifie la chaleur du Poumon / Elimine la chaleur-humidité / Active la circulation du Sang / Elimine les stases de Sang / Arrête les hémorragies / Elimine les gonflements,"Chaleur du Poumon avec toux, gorge gonflée et douloureuse, fièvre. / Chaleur-humidité avec jaunisse. / Chaleur-humidité attaquant la Vessie. / Stagnation de Sang formant des masses abdominales. / Chaleur avec hémorragies.",Plus la viande de porc maigre pour le traitement de masses immobiles.,15 à 60 g en décoction.,,,antinéoplastique.,,
Tu Fu Ling,Rhizoma Smilacis,Smilax glabra Roxb.,rhizome,douce et insipide,neutre,Zu Jue Yin Foie et Zu Yang Ming Estomac,Elimine la chaleur-humidité toxique / Elimine la chaleur-humidité de la peau / Ouvre les luo,Chaleur-humidité avec douleurs articulaires. / Chaleur-humidité avec urine trouble et douloureuse. / Chaleur-humidité avec jaunisse. / Chaleur-humidité de la peau avec ulcères et lésions de la peau.,"Plus Yi Yi Ren, Semen Coicis pour les douleurs articulaires par chaleur-humidité et toxiques. / Plus Bei Xie, Rhizoma Dioscoreae pour les douleurs articulaires et l’urine trouble par les toxiques de la chaleur-humidité. / Plus Pu Gong Ying, Herba Taraxaci pour la jaunisse par chaleur-humidité du Foie et de la Vésicule Biliaire. / Plus Bai Xian Pi, Cortex Dictamni pour les lésions de la peau par chaleur-humidité.",15 à 60 g en décoction.,,vide de Yin du Rein et du Foie.,"antiparasitique, antisyphilitique, antispasmodique.",Tu Fu Ling Jiu,
Ya Dan Zi,Fructus Bruceae,Brucea javanica (L.) Merr.,fruit,amère,"froide, toxique",Shou Yang Ming Gros Intestin et Zu Jue Yin Foie,Elimine la chaleur et les toxiques / Traite les alternances de fièvre et de frissons (type malaria) / Traite la dysenterie marquée par la périodicité des attaques et l’alternance des selles molles et dures. Elimine les verrues (externe).,Stagnation de froid causant la dysenterie chronique. / Alternance de fièvre et de frissons. / Alternance de selles dures et molles.,"Plus Bai Tou Weng, Herba Potentillae, Huang Bai, Cortex Phellodendri, Huang Lian, Rhizoma Copti- dis pour la dysenterie.",7 à 15 graines.,"on peut noter des nausées, des vomissements et des douleurs abdominales aux doses thérapeutiques. Des doses importantes peuvent causer des hémorragies. Ld50 de la décoction chez le poulet est de 4 g/kg per os ou de 0,25 g/Kg en injection I.M. Notons cependant qu’aucun accident mortel n’a été rapporté les derniers 200 ans.",vide de Rate et Estomac ; nausée et vomissements; la grossesse; les enfants. En utilisation externe il faut protéger les parties non traitées. Cette herbe est très irritante pour la peau et les muqueuses.,"inhibiteur du système nerveux central, antiparasitique, antimalaria, antinéoplastique, élimine le trichomonas.",,
Yu Xing Cao,Herba Houttuyniae,Houttuynia cordata Thunb.,plante entière,piquante,fraîche,Shou Tai Yin Poumon et Zu Jue Yin Foie,Clarifie la chaleur et les toxiques / Elimine la chaleur-humidité / Traite les abcès et furoncles par plénitude chaleur.,Chaleur du Poumon avec toux et expectoration de glaires épaisses jaunes et vertes ou chaleur toxique du Poumon avec abcès pulmonaire. / Chaleur-humidité du Gros Intestin avec diarrhée et chaleur-humidité du foyer inférieur avec dysurie;,"Plus Che Qian Zi, Semen Plantaginis et Bai Mao Gen, Rhizoma Imperatae pour le Re Lin chaleur avec dysurie. / Plus Jie Geng, Radix Platycodi pour l’abcès pulmonaire avec fièvre, toux, production de glaires fétides et purulentes. / Plus Ju Hua, Flos Chrysanthemi Morifolii, Jin Yin Hua, Flos Lonicerae et Pu Gong Ying, Herba Taraxaci pour les abcès et les furoncles par plénitude chaleur.",9 à 30 g en décoction.,,,"antimicrobien, antiviral, vasodilatateur, antitussif, antifongique, anti-inflammatoire, diurétique, analgésique, hémostatique.",,
Zi Hua Di Ding,Herba Violae,Viola yedoensis Mak.,plante entière,piquante et amère,froide,Shou Shao Yin Coeur et Zu Jue Yin Foie,Elimine la chaleur et les toxiques / Traite les enflures chaudes,"Chaleur et feu toxique produisant des ulcères, abcès, furoncles et autres atteintes inflammatoires de la peau marquées par la rougeur de la peau, la congestion oculaire, l’abcès intestinal.","Plus Ye Ju Hua, Flos Chrysanthemi Indici, Jin Yin Hua, Flos Lonicerae et Lian Qiao, Fructus Forsy- thiae et Pu Gong Ying, Herba Taraxaci, pour la Chaleur toxique avec tous types de pustules, furoncles et autres enflures rouges. / Plus Pu Gong Ying, Herba Taraxaci pour les abcès mammaires, les furoncles et la jaunisse.",10 à 16 g en décoction. Utilisation externe et interne.,,froid vide.,"bactériostatique, anti-inflammatoire, décongestionnant.",Di Ding Cao / Wu Wei Xiao Du Yin,particulièrement adapté pour les furoncles dans le dos.
Huang Bai,Cortex Phellodendri,Phellodendron amurense Rupr.,écorce,amère,froide,"Zu Shao Yin Rein, Zu Tai Yang Vessie et Shou Yang Ming Gros Intestin",Elimine la chaleur et l’humidité / Disperse le feu / Elimine les toxiques / Clarifie la chaleur vide,"Chaleur-humidité dans le foyer inférieur avec leucorrhée épaisse et jaune, diarrhée d’une odeur offensive ou dysenterie. / Feu toxique ou humidité causant des éruptions et lésions de la peau. / Feu vide du Rein avec chaleur évaporant des os, transpiration nocturne, fièvre vespérale, pollutions nocturnes.","Plus Huang Qin, Radix Scutellariae et Huang Lian, ‘ Rhizoma Coptidis pour la dysenterie et la diarrhée par chaleur-humidité. / Plus Zhi Zi, Fructus Gardeniae et Yin Chen Hao, Herba Artemisiae Capillaris pour la chaleur-humidité avec jaunisse. / Plus Bai Zhu, Rhizoma Atractylodis Albae et Niu Xi, Radix Achyranthis pour la faiblesse des membres inférieurs. / Plus Huang Qin, Radix Scutellariae et Zhi Zi, Fructus Gardeniae pour les exanthèmes humides. En usage externe plus Da Huang, Radix Rhei et Hua Shi, Talcum. / Plus Zhi Mu, Rhizoma Anemarrhenae et Sheng Di Huang, Radix Rehmanniae pour la chaleur vide. / Plus Che Qian Zi, Semen Plantaginis pour la chaleur-humidité du foyer inférieur avec diurèse brûlante, douloureuse et hésitante. / Plus Che Qian Zi, Semen Plantaginis, Shan Yao, Radix Dioscoreae, Qian Shi, Semen Euryales et / Bai Guo, Semen Ginkginis pour une leucorrhée jaune par chaleur-humidité. / Plus Chi Shao, Radix Paeoniae Rubrae pour la dysenterie hémorragique du type chaleur. / Plus Mu Xiang, Radix Saussureae pour la diarrhée aiguë accompagnée de douleurs abdominales. / Plus Xi Xin, Herba Asari cum. Radice pour une diurèse fréquente, gênante et douloureuse.",3 à 12 g en décoction.,,vide de Rate.,"antibiotique, antimicrobien, antidysentérique, antifongique, hypotenseur, inhibiteur du système nerveux central.",Bai Tou Weng Tang / Huang Lian Jie Du Tang / Zhi Zi Bai Pi Tang / Zhi Bai Di Huang Wan,
Huang Lian,Rhizoma Coptidis,Coptis chinensis Franch.,rhizome,amère,froide,"Shou Shao Yin Coeur, Zu Jue Yin Foie, Zu Yang Ming Estomac et Shou Yang Ming Gros Intestin","Clarifie la chaleur / Assèche l’humidité / Disperse le feu / Elimine les toxiques / Clarifie le feu du Coeur / Arrête l’hémorragie / Draine le feu de l’Estomac / Traite les abcès, furoncles et enflures chaudes","Chaleur-humidité interne avec oppression de la poitrine, sensation de boules dans l’abdomen, enduit lingual jaune et collant. / Feu du Coeur avec fièvre, bouche sèche, agitation, insomnie, palpitations, troubles mentaux (éventuellement causés par le manque d’échanges entre le Rein et le Coeur). / Hémorragies tels que l’épistaxis, l’hématurie, les selles sanguinolentes et le vomissement de sang par la chaleur brûlant les vaisseaux. / Abcès, furoncles et enflures chaudes. / Chaleur de l’Estomac avec ulcération de la cavité buccale, mauvaise haleine, renvois offensifs. / Feu toxique attaquant le Péricarde avec fièvre, irritabilité, diminution de la conscience, délire, coma, langue rouge, pouls rapide et plein. / Plénitude chaleur avec yeux rouges, douloureux et mal de gorge.","Plus Huang Qin, Radix Scutellariae et Da Huang, Radix et Rhizoma Rhei pour la plénitude de chaleur-humidité interne. / Plus Ban Xia, Tuber Pinelliae et Dan Zhu Ye, Herba Lophatheri pour l’obstruction du centre par chaleur-humidité. / Plus Mu Xiang, Radix Saussureae, Huang Qin, Radix Scutellariae et Ge Gen, Radix Puerariae pour la diarrhée par chaleur-humidité. / Plus Zhi Zi, Fructus Gardeniae et Lian Qiao, Fructus Forsythiae pour les furoncles. / Plus Chi Shao, Radix Paeoniae Rubrae et Mu Dan Pi, Cortex Moutan Radicis pour les abcès et ulcères purulents. / Plus Tian Hua Fen, Radix Trichosanthis, Zhi Mu, Rhizoma Anemarrhenae, Sheng Di Huang, Radix Rehmanniae, en utilisation interne et en bain de bouche pour les ulcérations de la cavité buccale. / Plus Sheng Di Huang, Radix Rehmanniae pour l’insomnie et le délire par la chaleur attaquant le niveau Ying. / Plus Sheng Di Huang, Radix Rehmanniae et Tian Hua Fen, Radix Trichosanthis, pour la plénitude chaleur causant la consomption Xiao Ke et la soif (syndrome diabétiforme). / Plus Mu Xiang, Radix Saussureae pour la dysenterie par la chaleur. / Plus Wu Zhu Yu, Fructus Evodiae pour la douleur épigastrique et abdominale et la régurgitation acide par feu du Foie attaquant l’Estomac. / Plus Rou Gui, Cortex Cinnamomi pour l’insomnie par dysharmonie du Coeur et du Rein, causant un feu du Coeur. / Plus Xi Xin, Herba Asari cum Radice pour la douleur dentaire, le gonflement des gencives et les ulcérations de la bouche par le feu de l’Estomac.",1 à 5 g en décoction.,,vide de Yin; nausée et vomissement par froid vide de Rate et Estomac; diarrhée par vide de Rate ou de Reins. Une utilisation prolongée peut léser la Rate et l’Estomac.,"antimicrobien, antiviral, antifongique, antiparasitaire, antidysentérique, hypotenseur, cholagogue, diminue le cholestérol, anti-inflammatoire, antinéoplastique.",Huang Lian Jie Du Tang / Huang Lian E Jiao Tang / Huang Lian Tang,
Huang Qin,Radix Scutellariae,Scutellaria baicalensis Georgi,racine,amère,froide,"Shou Tai Yin Poumon, Zu Shao Yang Vésicule Biliaire, Zu Yang Ming Estomac, Shou Yang Ming Gros Intestin, Shou Shao Yin Coeur, Shou Tai Yang Intestin Grêle","Clarifie la chaleur et élimine le feu, principalement dans le foyer supérieur / Elimine la chaleur-humidité / Calme le foetus / Descend le Yang ascendant du Foie","□ Chaleur et feu dans le Foyer supérieur avec fièvre, irritabilité, soif, toux, expectoration de glaires / épaisses et jaunes. / Chaleur-humidité de l’Estomac et des Intestins avec diarrhée et dysenterie. / Chaleur-humidité épidémique avec fièvre, sensation de lourdeur dans la poitrine, soif sans pouvoir avaler des liquides. / Chaleur-humidité dans le foyeri inférieur causant la dysurie Lin. / Chaleur-humidité avec jaunisse. / Chaleur causant l’agitation du foetus. / Yang du Foie ascendant avec céphalée, irritabilité, yeux rouges, bouffées de chaleur et saveur amère dans la bouche. / Enflures et abcès chauds.","Plus Huang Lian, Rhizoma Coptidis pour la fièvre et l’irritabilité dans les attaques de chaleur épidémique. / Plus Huang Lian, Rhizoma Coptidis et Fang Feng, Radix Ledebourelliae pour le vent intestinal accompagné de selles sanguinolentes. / Plus Bai Shao, Radix Paeoniae Albae pour la dysenterie par chaleur-humidité avec fièvre et ténesme. / Plus Bai Shao, Radix Paeoniae Albae, Zhi Zi, Fructus Gardeniae, Yin Chen Hao, Herba Artemisiae Capillaris, Huang Bai, Cortex Phellodendri, Mu Dan Pi, Cortex Moutan Radicis et Da Huang, Radix Rhei pour le vomissement de sang et l’épistaxis. / Plus Zhi Mu, Rhizoma Anemarrhenae pour la toux aiguë et chronique Causée par la chaleur du Poumon. / Plus Xia Ku Cao, Spica Prunellae pour le vertige et la céphalée par la montée du feu du Foie. / Plus Xia Ku Cao, Spica Prunellae et Mu Li, Concha Ostreae pour la scrofule par accumulation de feu du Foie. Egalement applicable pour le goitre. / Plus Di Yu, Radix Sanguisorbae pour les selles sanguinolentes par vent intestinal ou la fièvre et la douleur abdominale par abcès intestinal. / Plus Bai Zhu, Rhizoma Atractylodis Albae et Dan Zhu Ye, Herba Lophatheri pour l’agitation du foetus.",3 à 15 g en décoction.,,chaleur vide du Poumon; diarrhée froide; froid du foyer moyen; foetus agité par froid de la matrice.,"anti-allergique, antibiotique, antiparasitaire, antipyrétique, hypotenseur, diurétique, hypocholestérolémiant, antiviral, anti-inflammatoire, cholagogue.",Huang Qin Tang / Huang Qin Hua Shi Tang / Huang Lian Jie Du Tang,
